ind,node_id,xcor,ycor,PR_score,PR_rank,WPR_score,WPR_rank,DDPR_score,DDPR_rank,GPR_score,GPR_rank,eDDPR_score,eDDPR_rank,eGPR_score,eGPR_rank
36,36,273822.830173,2687215.61968,0.017284726587052227,24.0,0.017508182107354088,24.0,0.025787559400669922,52.0,0.026526006551957977,50.0,0.018568494393853864,46.0,0.02033473485651777,44.0
30,30,212043.278517,2701419.80632,0.01697045883092399,18.5,0.01617659298960805,16.0,0.0313832211407271,60.0,0.02663695688089672,51.0,0.01829968784255229,41.0,0.018866453073106183,34.0
56,56,214669.42836199998,2697466.94918,0.010685103708359569,3.0,0.0041128554472861095,3.0,0.02610887947863331,53.0,0.005425745331089155,7.0,0.011650845442472049,4.0,0.0031826350783796206,4.0
48,48,207820.98785499998,2695713.83828,0.017913262099308658,45.5,0.019096426727492344,46.0,0.027919943250822293,57.0,0.030570411175164396,59.0,0.019092765107866255,52.0,0.022832935118147317,52.0
21,21,211145.939601,2693615.11554,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02776259332484159,56.0,0.028034790317735578,56.0,0.019617371152412633,58.0,0.02396798731679781,58.0
50,50,214132.43123699998,2691344.0534599996,0.017913262099308658,45.5,0.019096426727492344,46.0,0.015874250651152062,29.0,0.018217457098827244,33.0,0.017772405385601795,35.0,0.019129608944156606,36.0
27,27,220907.11953400003,2689650.57622,0.016656191074795774,13.0,0.01583227223362775,13.5,0.023987109225589495,45.0,0.022352499247493468,40.0,0.017569169843853656,32.0,0.017129947556279154,26.0
52,52,217544.070427,2690322.58048,0.017913262099308658,45.5,0.019096426727492344,46.0,0.029558439750650846,58.0,0.029677607216720817,58.0,0.01964710608224291,59.0,0.024214387434924597,59.0
47,47,201341.24043499999,2687466.0707799997,0.017598994343180442,29.0,0.01831984213186444,31.0,0.014382981092621719,26.0,0.015304926119966433,31.0,0.01824873567666911,40.0,0.019538953598638234,40.0
55,55,209753.586332,2687859.82878,0.016970458830923994,22.0,0.01590721026449985,15.0,0.003521039683829037,3.0,0.003362849780374978,4.0,0.01483526324542197,7.0,0.01028383231970967,6.0
6,6,205187.324911,2686494.87737,0.01697045883092399,18.5,0.01668529340354006,19.5,0.027323924532990172,55.0,0.027828426958987525,55.0,0.018578384286533495,47.0,0.020038558243238008,43.0
46,46,227428.224259,2686074.75845,0.01697045883092399,18.5,0.01668529340354006,19.5,0.024088613257486235,47.0,0.024768994546597676,47.0,0.018622775858556727,48.0,0.02000356824452705,42.0
14,14,201760.990222,2684339.63833,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02358714077330796,44.0,0.026684743354744054,52.0,0.0193087118229966,55.0,0.023278178960789393,56.0
49,49,215808.913333,2684670.3246299997,0.017913262099308658,45.5,0.019096426727492344,46.0,0.020974197962580106,39.0,0.025156969110500096,48.0,0.01748607710445191,30.0,0.01855595490753505,33.0
44,44,205090.363931,2684136.68858,0.0025141420490257774,2.0,4.0636601397659295e-05,2.0,0.01303979376873577,24.0,2.2163648931955207e-05,2.0,0.0030009510981462966,2.0,7.956283878294654e-06,2.0
37,37,233079.404071,2683365.99579,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02403916182984581,46.0,0.027034314794156813,53.0,0.01843741996706443,45.0,0.021037778094774442,49.0
32,32,221671.53650500003,2683553.9988599997,0.017598994343180442,29.0,0.01831984213186444,31.0,0.010592082045579918,17.0,0.011597749033845375,20.0,0.017548968395784993,31.0,0.018147614140062315,30.0
9,9,219216.21976900002,2682467.61597,0.017913262099308658,45.5,0.019096426727492344,46.0,0.025022464434901005,51.0,0.02708631472218518,54.0,0.019410908882232035,57.0,0.02328993026778234,57.0
19,19,202105.57301700002,2682511.10971,0.017913262099308658,45.5,0.019096426727492344,46.0,0.024772258300786863,50.0,0.02965136595947821,57.0,0.01780876127331334,36.0,0.019429721157482878,39.0
16,16,204501.59677899998,2681420.19172,0.017913262099308658,45.5,0.019096426727492344,46.0,0.018439233013693546,32.0,0.020685138612221283,34.0,0.01744169607544767,28.0,0.01844664468342152,32.0
40,40,212929.507178,2680125.73593,0.016656191074795785,14.0,0.015726658105262855,12.0,0.008758101123337986,11.0,0.008291689649060189,14.0,0.0153630950023349,9.0,0.012294769704999535,11.0
33,33,206864.234243,2680339.1050400003,0.017913262099308658,45.5,0.019096426727492337,33.0,0.030326611884348056,59.0,0.0328765357645924,60.0,0.019255484978573958,54.0,0.023275209681209802,55.0
43,43,201337.684982,2679995.6025,0.014142049025770011,5.0,0.009498950781067633,5.0,0.027118729258587736,54.0,0.013089236168880424,23.0,0.015375635337883147,10.0,0.009472186635007693,5.0
34,34,205228.90174,2678257.00437,0.018227529855436884,59.0,0.019490719677304206,59.0,0.019671023326521958,36.0,0.02347648194418572,44.0,0.019342112961272098,56.0,0.023253980908074325,54.0
10,10,233381.64360500002,2675632.43355,0.017284726587052227,24.0,0.017508182107354088,24.0,0.02219153502137955,43.0,0.022434657176505078,41.0,0.01816447742154513,39.0,0.019269550908436666,37.0
53,53,219031.216575,2678869.53687,0.01634192331866756,11.0,0.014979235804369186,11.0,0.02415967186640372,48.0,0.022000007282096848,38.0,0.016753338813087812,20.0,0.015030706809766599,21.0
54,54,199169.431354,2678368.99817,0.017913262099308658,45.5,0.019096426727492344,46.0,0.008185286875234163,9.0,0.008735643174601009,15.0,0.017018715530584674,24.0,0.016438451799904892,23.0
18,18,217590.526931,2676344.95697,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02020687740281978,37.0,0.02320219806743221,43.0,0.018389689396002044,43.0,0.020750662978097745,48.0
13,13,208442.756942,2676672.99071,0.017913262099308658,45.5,0.019096426727492344,46.0,0.016053437834795764,30.0,0.018108114915478472,32.0,0.01875650316147683,50.0,0.021337911420011,51.0
51,51,202120.349697,2676450.95108,0.017913262099308658,45.5,0.019096426727492344,46.0,0.004170587992399984,5.0,0.004851358481920998,6.0,0.014427239040280416,5.0,0.01107290253014575,8.0
29,29,221577.43787,2674984.10575,0.017913262099308658,45.5,0.019096426727492344,46.0,0.012397912292782833,21.0,0.014216722183522022,26.0,0.018302468343894776,42.0,0.020337113830338593,45.0
5,5,215406.01704200002,2675780.3654099996,0.01665619107479577,12.0,0.01583227223362775,13.5,0.010876831955161634,19.0,0.01038125768155022,18.0,0.016829778987913286,21.0,0.01482797129901596,20.0
24,24,206994.347109,2674395.49497,0.015399120050282879,6.0,0.012575722186857949,6.0,0.019437259073989938,34.0,0.014756634390696641,30.0,0.016501006624417027,18.0,0.012968065834402366,14.0
12,12,210246.15130199998,2675363.81005,0.017598994343180442,29.0,0.018319842131864435,27.5,0.021046280572247056,40.0,0.022328060516549203,39.0,0.018414641657104786,44.0,0.02066986021594086,47.0
8,8,212641.589668,2674267.1718599997,0.017598994343180442,29.0,0.018319842131864435,27.5,0.02447099527838815,49.0,0.026499904232019686,49.0,0.018050046322031603,38.0,0.01987154259860039,41.0
23,23,217614.83083299999,2673749.6009299997,0.01288497800125711,4.0,0.00737719329388112,4.0,0.0002686490683613446,1.0,0.00011841060068873012,3.0,0.0048445113672239415,3.0,0.00036011791698581657,3.0
3,3,214722.081027,2673464.04944,0.017913262099308658,45.5,0.019096426727492344,46.0,0.0037113644819978934,4.0,0.004205823344136183,5.0,0.015322742909774088,8.0,0.012226838154193531,10.0
39,39,209830.0188,2671702.5041799997,0.01697045883092399,18.5,0.01668529340354006,19.5,0.010244353817596159,16.0,0.010060119365036514,17.0,0.015647857941541457,13.0,0.013192897952024949,15.0
17,17,202749.45211800002,2672192.94735,0.017913262099308658,45.5,0.019096426727492344,46.0,0.021666200926506674,42.0,0.024493539532598696,46.0,0.019233346246884025,53.0,0.02312176211530829,53.0
58,58,221711.068769,2671988.08315,0.017284726587052227,24.0,0.017508182107354088,24.0,0.014014718331537633,25.0,0.014433809098703135,27.0,0.018851563536285497,51.0,0.020628392957101165,46.0
11,11,213398.693262,2671753.43133,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02115024003399281,41.0,0.02358638682805659,45.0,0.01762939421592054,33.0,0.01891620217292244,35.0
1,1,219002.383642,2671173.2091,0.017598994343180442,29.0,0.018319842131864435,27.5,0.012183647683863989,20.0,0.013454894620355394,24.0,0.017063391950426367,25.0,0.01707533662277157,25.0
15,15,216104.34886199998,2671576.8684900003,0.017913262099308658,45.5,0.019096426727492344,46.0,0.019583105921242877,35.0,0.02290402433259082,42.0,0.017811479114732336,37.0,0.01936382250547381,38.0
31,31,206576.753801,2669070.86069,0.01697045883092399,18.5,0.01668529340354006,19.5,0.020791213792793063,38.0,0.021208871085716466,36.0,0.017449976636849465,29.0,0.01715463155100553,27.0
22,22,212758.618781,2669825.04124,0.0012570710245128885,1.0,5.40263340638705e-06,1.0,0.0014966660591618024,2.0,1.7554380656170462e-07,1.0,0.0013819410180039029,1.0,4.1710764543563406e-07,1.0
4,4,217490.822744,2669499.4821099997,0.017598994343180442,29.0,0.018319842131864435,27.5,0.005279486728537576,6.0,0.005753976629479319,8.0,0.0161192787210356,15.0,0.014004708726436752,17.0
2,2,215123.196431,2669204.12549,0.017913262099308658,45.5,0.019096426727492344,46.0,0.010826761124910537,18.0,0.012856231129105987,22.0,0.01683809099153278,22.0,0.01676493910801121,24.0
28,28,221474.737069,2668823.986,0.017913262099308658,45.5,0.019096426727492344,46.0,0.006396268706444287,8.0,0.007198028981311647,11.0,0.01584208080654975,14.0,0.014182542104533118,18.0
25,25,210959.10509,2667342.42884,0.01571338780641109,7.5,0.013374782631021733,7.5,0.010061732393701762,13.0,0.008035010744369981,13.0,0.016412199135906805,17.0,0.012943665320660623,13.0
7,7,212752.800279,2666855.75312,0.01697045883092399,18.5,0.01668529340354006,19.5,0.010137703859037592,15.0,0.009483406638580855,16.0,0.01650258877192011,19.0,0.014594513507133658,19.0
45,45,216755.520007,2667040.34413,0.01571338780641109,7.5,0.013374782631021733,7.5,0.014929904447312587,28.0,0.012160070023627598,21.0,0.01618222054309563,16.0,0.012802710553410666,12.0
42,42,223550.01289,2665569.51488,0.01602765556253933,10.0,0.013713368587871252,9.0,0.008894638263659578,12.0,0.007422505942317521,12.0,0.01545239966558306,11.0,0.011260954307040107,9.0
35,35,219580.859168,2666933.3638,0.018541797611565138,60.0,0.020441852910451773,60.0,0.017194433783798223,31.0,0.020772826472893597,35.0,0.01976409027499612,60.0,0.024357268563046507,60.0
26,26,218472.69770999998,2665022.28259,0.017913262099308658,45.5,0.019096426727492344,46.0,0.012810846167750307,23.0,0.014696721547746445,29.0,0.01723331300169193,27.0,0.01767967972043466,29.0
60,60,213382.374686,2663230.3087,0.017598994343180442,29.0,0.01831984213186444,31.0,0.010090619839757991,14.0,0.0108680782928854,19.0,0.017640309468447236,34.0,0.01826169516178716,31.0
41,41,220228.96456700002,2663679.70565,0.017913262099308658,45.5,0.019096426727492344,46.0,0.006096862278485014,7.0,0.006906166467158199,9.0,0.015548796408844785,12.0,0.01339754452531204,16.0
20,20,218199.325455,2662104.57389,0.017913262099308658,45.5,0.019096426727492344,46.0,0.012736363052867329,22.0,0.014186817322693022,25.0,0.01708210602718838,26.0,0.0173566832836881,28.0
59,59,221831.14356300002,2659251.23534,0.017913262099308658,45.5,0.019096426727492344,46.0,0.019177436172498407,33.0,0.021784360715669655,37.0,0.018648073840531593,49.0,0.021243633804152836,50.0
57,57,214457.695572,2660546.29532,0.016027655562539322,9.0,0.01415719440668749,10.0,0.008307403759755753,10.0,0.006987512693918754,10.0,0.01459863520337755,6.0,0.010303839526781027,7.0
38,38,217790.339455,2658510.59779,0.016970458830923987,15.0,0.01668529340354006,19.5,0.014713350626501582,27.0,0.014548299955460822,28.0,0.01700887968577504,23.0,0.016216935298072097,22.0
